Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1695945144.3826888,1002,85945,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
1695945145.3788116,1003,85946,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
1695945146.3798568,1004,85947,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
1695945147.3787804,1005,85948,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
1695945148.3752058,1006,85949,0,GPS1_Frame,42.338265,-71.085525,14.0,328195.94986549864,4689440.901842608,19,T
1695945149.375368,1007,85950,0,GPS1_Frame,42.338265,-71.085525,14.0,328195.94986549864,4689440.901842608,19,T
1695945150.3764257,1008,85951,0,GPS1_Frame,42.338265,-71.085525,14.0,328195.94986549864,4689440.901842608,19,T
1695945151.3772762,1009,85952,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945152.3755665,1010,85953,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945153.3816893,1011,85954,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945154.3774264,1012,85955,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945155.3775642,1013,85956,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945156.3804493,1014,85957,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945157.3787029,1015,85958,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945158.3795707,1016,85959,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945159.3801994,1017,85960,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945160.379425,1018,85961,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945161.3799813,1019,85962,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945162.3799846,1020,85963,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945163.3802905,1021,85964,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945164.384246,1022,85965,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945165.3758059,1023,85966,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945166.3785717,1024,85967,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945167.3832185,1025,85968,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945168.3803437,1026,85969,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945169.4184575,1027,85970,0,GPS1_Frame,42.33826333333333,-71.085525,14.0,328195.9453264489,4689440.716771984,19,T
1695945170.416307,1028,85971,0,GPS1_Frame,42.33826166666667,-71.085525,14.0,328195.9407873992,4689440.531701362,19,T
1695945171.419947,1029,85972,0,GPS1_Frame,42.33826166666667,-71.085525,14.0,328195.9407873992,4689440.531701362,19,T
1695945172.3765614,1030,85973,0,GPS1_Frame,42.33826166666667,-71.085525,14.0,328195.9407873992,4689440.531701362,19,T
1695945173.4169006,1031,85974,0,GPS1_Frame,42.33826166666667,-71.085525,14.0,328195.9407873992,4689440.531701362,19,T
1695945174.418821,1032,85975,0,GPS1_Frame,42.33826166666667,-71.085525,14.0,328195.9407873992,4689440.531701362,19,T
1695945175.3780375,1033,85976,0,GPS1_Frame,42.33826166666667,-71.085525,14.0,328195.9407873992,4689440.531701362,19,T
1695945176.4150882,1034,85977,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945177.3785071,1035,85978,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945178.3816788,1036,85979,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945179.4195223,1037,85980,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945180.3813875,1038,85981,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945181.3806474,1039,85982,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945182.3812494,1040,85983,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945183.381923,1041,85984,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945184.3810358,1042,85985,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945185.3815837,1043,85986,0,GPS1_Frame,42.33826,-71.085525,14.0,328195.9362483496,4689440.346630736,19,T
1695945186.3786302,1044,85987,0,GPS1_Frame,42.338258333333336,-71.085525,14.0,328195.93170930026,4689440.1615601145,19,T
1695945187.3830903,1045,85988,0,GPS1_Frame,42.338258333333336,-71.085525,14.0,328195.93170930026,4689440.1615601145,19,T
1695945188.3816783,1046,85989,0,GPS1_Frame,42.338258333333336,-71.085525,14.0,328195.93170930026,4689440.1615601145,19,T
1695945189.3812058,1047,85990,0,GPS1_Frame,42.338258333333336,-71.085525,14.0,328195.93170930026,4689440.1615601145,19,T
1695945190.38128,1048,85991,0,GPS1_Frame,42.338258333333336,-71.085525,14.0,328195.93170930026,4689440.1615601145,19,T
1695945191.381206,1049,85992,0,GPS1_Frame,42.338258333333336,-71.085525,14.0,328195.93170930026,4689440.1615601145,19,T
1695945192.3822665,1050,85993,0,GPS1_Frame,42.338258333333336,-71.085525,14.0,328195.93170930026,4689440.1615601145,19,T
1695945193.3810833,1051,85994,0,GPS1_Frame,42.338258333333336,-71.085525,14.0,328195.93170930026,4689440.1615601145,19,T
1695945194.3822827,1052,85995,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945195.3814363,1053,85996,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945196.3825672,1054,85997,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945197.3814287,1055,85998,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945198.3831325,1056,85999,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945199.3823085,1057,86000,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945200.3822026,1058,86001,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945201.3801343,1059,86002,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945202.3818352,1060,86003,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945203.3829453,1061,86004,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945204.3823268,1062,86005,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
1695945205.381113,1063,86006,0,GPS1_Frame,42.338258333333336,-71.085525,13.9,328195.93170930026,4689440.1615601145,19,T
